scenario,architecture,nominal_reviewers,effective_reviewers,mean_reviewer_utilization,p95_reviewer_utilization,mean_p95_review_wait_minutes,p95_review_wait_minutes,mean_reviews_completed_after_day,capacity_guardrails_passed,current_nominal_reviewers,recommended_nominal_reviewers,is_recommended,capacity_status
black_friday,tiered_hybrid,6,6,0.9427520254629633,1.0051085069444448,9.516866666666667,18.71962500000003,16.833333333333332,False,2,8,False,ready
black_friday,tiered_hybrid,7,7,0.80807316468254,0.8615215773809527,2.19939166666668,3.3782250000000262,13.5,False,2,8,False,ready
black_friday,tiered_hybrid,8,8,0.7070640190972225,0.7538313802083335,0.4737333333333316,1.0047625000000044,13.5,True,2,8,True,ready
black_friday,tiered_hybrid,9,9,0.6285013503086422,0.6700723379629632,0.0,0.0,13.5,True,2,8,False,ready
black_friday,tiered_hybrid,10,10,0.5656512152777778,0.6030651041666668,0.0,0.0,13.5,True,2,8,False,ready
black_friday,tiered_hybrid,11,11,0.5142283775252526,0.548241003787879,0.0,0.0,13.5,True,2,8,False,ready
black_friday,tiered_hybrid,12,12,0.47137601273148166,0.5025542534722224,0.0,0.0,13.5,True,2,8,False,ready
black_friday,governed_hybrid,1,1,5.65651215277778,6.030651041666668,2104.615750000001,2252.814325000001,284.6666666666667,False,2,8,False,ready
black_friday,governed_hybrid,2,2,2.82825607638889,3.015325520833334,817.493008333333,881.2111125000001,225.83333333333334,False,2,8,False,ready
black_friday,governed_hybrid,3,3,1.8855040509259267,2.0102170138888895,389.4809333333332,424.96255,167.0,False,2,8,False,ready
black_friday,governed_hybrid,4,4,1.414128038194445,1.507662760416667,177.4549833333333,204.67320000000012,108.33333333333333,False,2,8,False,ready
black_friday,governed_hybrid,5,5,1.1313024305555557,1.2061302083333336,54.15705833333328,74.80956249999993,51.833333333333336,False,2,8,False,ready
black_friday,governed_hybrid,6,6,0.9427520254629633,1.0051085069444448,6.283833333333327,9.103449999999977,20.0,False,2,8,False,ready
black_friday,governed_hybrid,7,7,0.80807316468254,0.8615215773809527,1.6906333333333368,2.1737375000000165,18.666666666666668,False,2,8,False,ready
black_friday,governed_hybrid,8,8,0.7070640190972225,0.7538313802083335,0.1369666666666668,0.3183999999999996,18.666666666666668,True,2,8,True,ready
black_friday,governed_hybrid,9,9,0.6285013503086422,0.6700723379629632,0.0,0.0,18.666666666666668,True,2,8,False,ready
black_friday,governed_hybrid,10,10,0.5656512152777778,0.6030651041666668,0.0,0.0,18.666666666666668,True,2,8,False,ready
black_friday,governed_hybrid,11,11,0.5142283775252526,0.548241003787879,0.0,0.0,18.666666666666668,True,2,8,False,ready
black_friday,governed_hybrid,12,12,0.47137601273148166,0.5025542534722224,0.0,0.0,18.666666666666668,True,2,8,False,ready
prompt_attack_wave,solo_generalist,1,1,1.6106631944444443,1.652660416666666,288.8037749999998,305.64736249999964,42.333333333333336,False,1,3,False,ready
prompt_attack_wave,solo_generalist,2,2,0.8053315972222221,0.826330208333333,16.559716666666674,22.97584999999995,4.0,False,1,3,False,ready
prompt_attack_wave,solo_generalist,3,3,0.5368877314814814,0.5508868055555554,3.6236583333333336,5.877349999999994,2.8333333333333335,True,1,3,True,ready
prompt_attack_wave,solo_generalist,4,4,0.40266579861111107,0.4131651041666665,0.5170000000000057,1.504199999999998,2.6666666666666665,True,1,3,False,ready
prompt_attack_wave,solo_generalist,5,5,0.3221326388888888,0.3305320833333332,0.0,0.0,2.6666666666666665,True,1,3,False,ready
prompt_attack_wave,solo_generalist,6,6,0.2684438657407407,0.2754434027777777,0.0,0.0,2.6666666666666665,True,1,3,False,ready
prompt_attack_wave,solo_generalist,7,7,0.230094742063492,0.23609434523809517,0.0,0.0,2.6666666666666665,True,1,3,False,ready
prompt_attack_wave,solo_generalist,8,8,0.20133289930555553,0.20658255208333326,0.0,0.0,2.6666666666666665,True,1,3,False,ready
prompt_attack_wave,solo_generalist,9,9,0.1789625771604938,0.18362893518518514,0.0,0.0,2.6666666666666665,True,1,3,False,ready
prompt_attack_wave,solo_generalist,10,10,0.1610663194444444,0.1652660416666666,0.0,0.0,2.6666666666666665,True,1,3,False,ready
