architecture,scenario,n_seeds,arrivals,arrivals_low,arrivals_high,safe_completion_rate,safe_completion_rate_low,safe_completion_rate_high,sla_attainment_rate,sla_attainment_rate_low,sla_attainment_rate_high,critical_bypass_rate,critical_bypass_rate_low,critical_bypass_rate_high,unsafe_proposal_rate,unsafe_proposal_rate_low,unsafe_proposal_rate_high,unsafe_proposal_interception_rate,unsafe_proposal_interception_rate_low,unsafe_proposal_interception_rate_high,harmful_execution_rate,harmful_execution_rate_low,harmful_execution_rate_high,normal_overblock_rate,normal_overblock_rate_low,normal_overblock_rate_high,automation_rate,automation_rate_low,automation_rate_high,review_rate,review_rate_low,review_rate_high,p50_cycle_minutes,p50_cycle_minutes_low,p50_cycle_minutes_high,p95_cycle_minutes,p95_cycle_minutes_low,p95_cycle_minutes_high,p95_queue_wait_minutes,p95_queue_wait_minutes_low,p95_queue_wait_minutes_high,agent_utilization,agent_utilization_low,agent_utilization_high,reviewer_utilization,reviewer_utilization_low,reviewer_utilization_high,direct_cost_units,direct_cost_units_low,direct_cost_units_high,cost_per_safe_completion,cost_per_safe_completion_low,cost_per_safe_completion_high
tiered_hybrid,normal_day,6,151.66666666666666,139.0,159.625,0.7687477467352754,0.7293045668373506,0.7896808807134894,0.7379805491046199,0.6853786755082453,0.7817377369007804,0.04201467790305935,0.018118304611085236,0.05594615450570179,0.11523565935090961,0.06932011935208866,0.17245720541401272,0.7028828197945844,0.6058823529411764,0.8549107142857143,0.033595066553426006,0.014703692674210839,0.04948794804546022,0.06043241428579776,0.03226817042606516,0.09053446553446554,0.2188778881788943,0.17010373238038515,0.24782543789808917,0.7811221118211057,0.7521745621019109,0.8298962676196149,12.095083333333335,11.02975,13.5145625,25.345408333333328,19.276737500000003,30.58059375,14.830266666666667,8.675037500000004,20.38675,0.28057034740450515,0.258439329036144,0.2937554123211676,0.772491918494942,0.7156854032656205,0.810630595013698,74.49396666666668,68.9856,78.2063625,0.6395854303056279,0.6199200977101516,0.6547601802059497
governed_hybrid,prompt_attack_wave,6,182.5,173.125,192.0,0.6206346909518626,0.5715442495515248,0.6640625,0.5025815520119262,0.38787774725274726,0.5564686750031578,0.005385255063563886,0.0,0.015682444852941176,0.17111230204058336,0.14868790064102563,0.19540281791907516,0.9727614066060651,0.9406828703703703,1.0,0.004662906420368549,0.0,0.010780014616968972,0.06855408447589989,0.031882835101253615,0.09867886178861789,0.2175954338430046,0.17851981833195707,0.24676724137931033,0.7824045661569955,0.7532327586206896,0.8214801816680429,19.92875,13.5475625,34.225375,39.48983333333333,25.08339375,59.820181249999976,28.0334,13.14403125,48.99148124999999,0.38915240224865927,0.37074407531118314,0.4067933440160445,0.9359074881620734,0.8929027843895034,0.9807748585580475,91.95270000000001,87.7011125,96.44332500000002,0.8148013038019272,0.7493404359879032,0.8825306186868687
manager_mesh,prompt_attack_wave,6,182.5,173.125,192.0,0.5661573813715906,0.5387652035163777,0.5916466346153846,0.38261802423652136,0.24353966346153846,0.4917582417582418,0.14795501533207306,0.1135806595365419,0.16858473557692308,0.2938738486033931,0.27541208791208793,0.32996146435452794,0.5530539926487716,0.4401851851851852,0.6160294117647058,0.13099749237817307,0.10996905393457118,0.15885416666666669,0.052998113059408235,0.04108381157340985,0.07163308589607635,0.2175954338430046,0.17851981833195707,0.24676724137931033,0.7824045661569955,0.7532327586206896,0.8214801816680429,30.176750000000002,18.0656875,47.2253125,57.238649999999986,33.1158375,91.07583749999998,44.24999999999999,20.1366125,78.58425624999998,0.613338025283213,0.5843249013056689,0.6411416835035488,1.0138997788422461,0.9673113497552956,1.062506096771218,103.41744999999999,98.631425,108.4800375,1.0024846648482597,0.9456572431077693,1.0544903342435274
solo_generalist,prompt_attack_wave,6,182.5,173.125,192.0,0.15413582829369157,0.11695277266086515,0.19814116379310345,0.08400473798121795,0.060832592263228104,0.10908488063660478,0.8742118403892712,0.828542780748663,0.9016504018369691,0.8020485842640518,0.7551185344827587,0.8451454614749412,0.0,0.0,0.0,0.8020485842640518,0.7551185344827587,0.8451454614749412,0.012249824423740027,0.007450083692013391,0.016632513661202185,0.426512392207155,0.3975607933027706,0.46123082646520147,0.573487607792845,0.5387691735347986,0.6024392066972294,39.666,18.002250000000004,57.75718749999999,289.06746666666663,269.81006875,312.00577499999997,277.00428333333326,257.97785625,299.54596874999993,0.5607393572825593,0.5266243656813658,0.5940220418399169,1.6106607970228506,1.5806825377306544,1.6564653437296377,72.79950000000001,71.74370000000002,75.05336249999999,2.6886529577869798,2.0801337500000003,3.54789660326087
specialist_mesh,prompt_attack_wave,6,182.5,173.125,192.0,0.30617212717602643,0.26080428106936415,0.36853448275862066,0.18394723469811922,0.1485579238921002,0.21719085512188963,0.6934453955163459,0.6349062702003878,0.7447819496268657,0.637626677811923,0.5751391882183907,0.6972806779865126,0.04839192338897408,0.020486725663716815,0.0785795337322055,0.6068953527329425,0.5338092672413793,0.6667833273121387,0.027837384511952532,0.003048780487804878,0.05563725490196078,0.426512392207155,0.3975607933027706,0.46123082646520147,0.573487607792845,0.5387691735347986,0.6024392066972294,40.78691666666666,18.93975,58.6095,290.1803,270.90606875,312.8773999999999,276.98559166666666,257.9343,299.3247125,0.5256931474523994,0.4937103428262807,0.5568956642249222,1.6106607970228506,1.5806825377306544,1.6564653437296377,78.2745,77.15585000000002,80.7758625,1.4238874370807328,1.1995955018028848,1.6912964052287585
tiered_hybrid,prompt_attack_wave,6,182.5,173.125,192.0,0.5766273352682686,0.5556040780029219,0.6126230540293041,0.4701926206544878,0.3393071771978022,0.5480058734369079,0.10317380957619106,0.05364219114219115,0.12521949078138717,0.2770469806656148,0.23735834478021978,0.3110097543352601,0.6944246882240804,0.6377352700490998,0.8090277777777778,0.08559337469636204,0.04744734432234432,0.10831090957411468,0.06190278648415599,0.0357469512195122,0.07999337029893926,0.2175954338430046,0.17851981833195707,0.24676724137931033,0.7824045661569955,0.7532327586206896,0.8214801816680429,19.5925,13.15175,33.87025,39.123324999999994,24.715131249999995,59.44713124999998,27.980724999999996,13.134118749999999,48.87498124999999,0.3637728977541814,0.34656511387784483,0.38026334331934625,0.9359074881620734,0.8929027843895034,0.9807748585580475,90.1277,85.9623625,94.523325,0.8583214652224013,0.7952857739853832,0.9135931295955884
governed_hybrid,reviewer_shortage,6,151.66666666666666,139.0,159.625,0.6029170712496167,0.5527004624378327,0.6557393790849673,0.1677215554492939,0.12871004566210045,0.19958057532991966,0.0030581039755351682,0.0,0.016055045871559634,0.21327904738304462,0.14587928921568627,0.2525773722031684,0.9632526339179565,0.9467503217503217,0.9743371212121212,0.0076785965274351374,0.006264928343949045,0.012123745819397992,0.08524439915417359,0.0549812030075188,0.12103174603174603,0.2188778881788943,0.17010373238038515,0.24782543789808917,0.7811221118211057,0.7521745621019109,0.8298962676196149,184.15941666666666,143.00881249999998,210.67524999999998,505.1769583333333,429.0726562500001,550.9490000000001,492.79457500000007,418.11699375000006,536.2413624999999,0.3001450228048195,0.2764699798991308,0.3142499759714818,2.085728179936344,1.932350588817176,2.1887026065369835,96.77523333333335,89.63358750000002,101.5911875,1.0632424191718086,0.9665263007425743,1.1995756317934783
manager_mesh,reviewer_shortage,6,151.66666666666666,139.0,159.625,0.599341038769514,0.5292034133594643,0.6784011549825409,0.16275600939981208,0.13737893726550912,0.18277564649048023,0.1376694307016695,0.11211974891356832,0.1812400811144419,0.2675260493776978,0.18981821895424836,0.33433144096741435,0.5300977616484187,0.3488175675675676,0.6232822410147991,0.12184404151811173,0.10739182692307692,0.14928083760043295,0.06811517290840599,0.03394819466248038,0.13607034412955465,0.2188778881788943,0.17010373238038515,0.24782543789808917,0.7811221118211057,0.7521745621019109,0.8298962676196149,215.14266666666663,171.07975,245.029875,584.1812749999999,502.60628125000005,632.04543125,570.1149916666667,490.0713125,615.509875,0.4730546555075958,0.4357407291888474,0.4952852882159222,2.2595388615977057,2.0933798045519394,2.371094490415067,107.99968333333334,100.01729999999999,113.3797125,1.1967033895253558,1.0460772534013603,1.3335826359686012
solo_generalist,reviewer_shortage,6,151.66666666666666,139.0,159.625,0.4009429507704383,0.3418565245794545,0.4557955473856209,0.2146547733850204,0.18687900641025643,0.25786775897573644,0.5781137903222223,0.49385494201142466,0.6637850467289719,0.5175583648468899,0.45093954248366014,0.5880584787224222,0.0,0.0,0.0,0.5175583648468899,0.45093954248366014,0.5880584787224222,0.02647762986108851,0.011389404246547104,0.03777472527472528,0.42791232335961377,0.3944746376811594,0.46715894425710836,0.5720876766403863,0.5328410557428916,0.6055253623188406,50.62683333333333,21.291375,88.766125,378.3280916666667,347.70971249999997,420.55527499999994,363.6972916666667,331.547025,406.7179375,0.4301217939075137,0.3967264875338817,0.4573793518392948,1.8088584000275467,1.7274159868043335,1.944551195454895,78.56,75.3283875,84.24047499999999,1.3045925387767217,1.1379504929577464,1.4266096698113206
specialist_mesh,reviewer_shortage,6,151.66666666666666,139.0,159.625,0.5422961224699693,0.47025293085941106,0.6167381535947712,0.2824803322760018,0.2613156847133758,0.3496452233861581,0.3940415731802016,0.3245953782239917,0.472319232661092,0.37872154583834194,0.31591605392156863,0.4547159143358257,0.046690858591242355,0.019067796610169493,0.07311320754716981,0.36126092044879426,0.3021343954248366,0.43151712360380323,0.04502735846720809,0.021282536907536908,0.08035714285714285,0.42791232335961377,0.3944746376811594,0.46715894425710836,0.5720876766403863,0.5328410557428916,0.6055253623188406,51.667083333333345,22.1725,89.54037500000001,379.35830000000004,348.67983749999996,421.36177499999997,363.6745583333333,331.37600625,406.2836,0.4032391817882941,0.3719310820630142,0.42879314234933885,1.8088584000275467,1.7274159868043335,1.944551195454895,83.11,79.5155125,89.02547499999999,1.0189347239524311,0.8899054997200446,1.1303827397260275
tiered_hybrid,reviewer_shortage,6,151.66666666666666,139.0,159.625,0.6070404436998442,0.5689357749469215,0.6515187125078342,0.16913413691873336,0.1449644446383387,0.18908685268979386,0.0820682344802984,0.04509682224428997,0.125,0.25377823107842723,0.19553717320261438,0.30674301812836846,0.70091257319025,0.6069862155388471,0.7996886973180077,0.07621746908465128,0.046373259448707016,0.10146233974358974,0.07287710201244035,0.05102040816326531,0.0979020979020979,0.2188778881788943,0.17010373238038515,0.24782543789808917,0.7811221118211057,0.7521745621019109,0.8298962676196149,183.86608333333334,142.7595625,210.344625,504.88375833333333,428.76520625000006,550.61771875,492.7946416666667,418.0546125000001,536.20741875,0.28057034740450515,0.258439329036144,0.2937554123211676,2.085728179936344,1.932350588817176,2.1887026065369835,95.25856666666665,88.2348375,99.9961875,1.0370540743105776,0.9629977311827957,1.0712371851463143
governed_hybrid,tool_outage,6,151.66666666666666,139.0,159.625,0.5920241610955076,0.532566352739726,0.6651740824534943,0.4805768436875096,0.41048691605198456,0.5465153452685423,0.0015290519877675841,0.0,0.008027522935779817,0.048019471848619245,0.02740480250071043,0.06732185509554141,0.9761904761904763,0.875,1.0,0.0010683760683760683,0.0,0.005608974358974359,0.08200011489485175,0.05815620782726046,0.11862244897959183,0.2188778881788943,0.17010373238038515,0.24782543789808917,0.7811221118211057,0.7521745621019109,0.8298962676196149,21.905,20.8051875,23.25375,35.113899999999994,29.181887500000002,40.25611875,14.911483333333335,8.813812500000004,20.518456249999996,0.33015952508530133,0.304116977889044,0.34567497356862964,0.772491918494942,0.7156854032656205,0.810630595013698,76.01063333333333,70.38435,79.8013625,0.8524431870137041,0.7487750919775166,0.9771161088911088
manager_mesh,tool_outage,6,151.66666666666666,139.0,159.625,0.5365690470354966,0.49073108993448483,0.5877565463552724,0.380805985665327,0.32800974710221287,0.4310883773799375,0.10853531537462535,0.058667310478029935,0.15471071965269662,0.20919124719696883,0.15464898919966769,0.2481421792461277,0.5623326478589638,0.5032894736842105,0.6153846153846154,0.09182412775277245,0.060278777808547956,0.11578364222401288,0.05276081826833706,0.01397907647907648,0.08679149797570851,0.2188778881788943,0.17010373238038515,0.24782543789808917,0.7811221118211057,0.7521745621019109,0.8298962676196149,25.58458333333333,23.2486875,28.8605,42.23867499999999,33.0005625,50.97046249999998,20.236841666666663,11.159981250000007,29.67960624999999,0.5203601210583555,0.47931480210773236,0.5448138170375146,0.8368662450361873,0.7753258535377556,0.8781831445981721,85.5046,79.16319999999999,89.77519999999998,1.056426493837754,0.9341708823529411,1.1920460411776213
solo_generalist,tool_outage,6,151.66666666666666,139.0,159.625,0.2689458903531206,0.22675947984911654,0.3053891321656051,0.15116873825675856,0.1238154960981048,0.1836830273510678,0.6959429867746229,0.6313978754225013,0.7344422343103029,0.6232660350498057,0.5742486066878981,0.6570418121586534,0.0,0.0,0.0,0.6232660350498057,0.5742486066878981,0.6570418121586534,0.008297414782377189,0.0,0.01923076923076923,0.42791232335961377,0.3944746376811594,0.46715894425710836,0.5720876766403863,0.5328410557428916,0.6055253623188406,36.182416666666676,22.016,58.097249999999995,191.81558333333328,164.75400000000002,222.01864999999998,170.45453333333333,141.88860625000004,199.73751875,0.4731339732982651,0.43639913628727006,0.5031172870232246,1.3398951111315158,1.2795673976328399,1.4404082929295512,60.55213333333333,57.973637499999995,64.88176250000001,1.5093227794442434,1.2552706252713852,1.804761446496212
specialist_mesh,tool_outage,6,151.66666666666666,139.0,159.625,0.39630403560087474,0.37709576584256893,0.4183480935345956,0.21121432535733123,0.1839205473856209,0.2392188726987174,0.49236878746464724,0.4512433606953163,0.5440390716313241,0.4570306562825413,0.42152029234035604,0.5067668371696504,0.04817377011235086,0.018464661984196662,0.06049298959746721,0.4352221614491507,0.3960221705046546,0.48117362887183857,0.02896503037480481,0.01216640502354788,0.04987916219119226,0.42791232335961377,0.3944746376811594,0.46715894425710836,0.5720876766403863,0.5328410557428916,0.6055253623188406,37.242666666666665,22.944625000000002,58.9846875,192.83792499999996,165.60084375,223.25224999999998,170.3670583333333,141.47734375000002,199.7539,0.44356309996712356,0.40912419026931557,0.4716724565842728,1.3398951111315158,1.2795673976328399,1.4404082929295512,65.10213333333334,62.143637500000004,69.6667625,1.0866696720082487,0.9708460708782745,1.185422007625995
