seed,architecture,scenario,arrivals,safe_completions,safe_completion_rate,sla_attainment_rate,critical_bypass_rate,unsafe_proposal_rate,unsafe_proposal_interception_rate,harmful_execution_rate,normal_overblock_rate,automation_rate,review_rate,p50_cycle_minutes,p95_cycle_minutes,p95_queue_wait_minutes,agent_utilization,reviewer_utilization,direct_cost_units,cost_per_safe_completion
20260831,specialist_mesh,black_friday,449,225,0.5011135857461024,0.060133630289532294,0.46229508196721314,0.41648106904231624,0.0427807486631016,0.3986636971046771,0.0472972972972973,0.46325167037861914,0.5367483296213809,147.452,1558.5639999999996,1543.5581999999997,1.2981306495606426,4.587465875688581,216.56769999999997,0.962523111111111
20260831,manager_mesh,black_friday,449,242,0.5389755011135857,0.0200445434298441,0.16065573770491803,0.3184855233853007,0.5804195804195804,0.133630289532294,0.05067567567567568,0.24498886414253898,0.755011135857461,327.426,898.7061999999999,882.2959999999999,1.5175301644469898,2.9905428135996144,292.53409999999997,1.2088185950413222
20260831,tiered_hybrid,black_friday,449,243,0.5412026726057907,0.1759465478841871,0.08196721311475409,0.3051224944320713,0.7737226277372263,0.06904231625835189,0.07094594594594594,0.24498886414253898,0.755011135857461,288.291,794.1621999999999,780.2376,0.9000523733961444,2.760501058707334,256.906,1.0572263374485598
20260831,governed_hybrid,black_friday,449,229,0.5100222717149221,0.16258351893095768,0.006557377049180328,0.2650334075723831,0.9831932773109243,0.004454342984409799,0.0945945945945946,0.24498886414253898,0.755011135857461,288.607,794.4813999999999,780.2028,0.9628467250284338,2.760501058707334,261.39599999999996,1.1414672489082967
20260901,solo_generalist,black_friday,454,192,0.42290748898678415,0.030837004405286344,0.5695364238410596,0.5154185022026432,0.0,0.5154185022026432,0.018867924528301886,0.45374449339207046,0.5462555066079295,190.929,1644.9892999999997,1632.023,1.3930431044602296,4.7595187065109785,210.0054,1.093778125
20260901,specialist_mesh,black_friday,454,256,0.5638766519823789,0.05506607929515418,0.3973509933774834,0.3766519823788546,0.03508771929824561,0.3634361233480176,0.0220125786163522,0.45374449339207046,0.5462555066079295,170.409,1645.7909499999998,1631.8193499999998,1.3059779104314662,4.7595187065109785,223.62539999999998,0.8735367187499999
20260901,manager_mesh,black_friday,454,252,0.5550660792951542,0.019823788546255508,0.12251655629139073,0.29955947136563876,0.6029411764705882,0.11894273127753303,0.06289308176100629,0.2533039647577093,0.7466960352422908,349.05949999999996,924.4385499999999,910.6380499999999,1.5111592983130122,3.0514635042953215,297.91229999999996,1.1821916666666665
20260901,tiered_hybrid,black_friday,454,259,0.5704845814977973,0.16740088105726872,0.08940397350993377,0.28854625550660795,0.6564885496183206,0.09911894273127753,0.059748427672955975,0.2533039647577093,0.7466960352422908,309.663,817.74885,806.2468,0.8962737907235792,2.8167355424264526,261.72509999999994,1.0105216216216213
20260901,governed_hybrid,black_friday,454,264,0.5814977973568282,0.16079295154185022,0.0033112582781456954,0.22687224669603523,0.9902912621359223,0.0022026431718061676,0.06918238993710692,0.2533039647577093,0.7466960352422908,309.95349999999996,818.0410499999999,806.1869499999999,0.9588045203089453,2.8167355424264526,266.2651,1.0085799242424243
20260902,solo_generalist,black_friday,493,162,0.3286004056795132,0.02434077079107505,0.6819571865443425,0.5983772819472617,0.0,0.5983772819472617,0.022151898734177215,0.4482758620689655,0.5517241379310345,250.802,1863.5279999999998,1850.1861999999999,1.511082403537961,5.297389939492109,233.0004,1.4382740740740743
20260902,specialist_mesh,black_friday,493,224,0.4543610547667343,0.030425963488843813,0.5076452599388379,0.4726166328600406,0.04721030042918455,0.45030425963488846,0.03164556962025317,0.4482758620689655,0.5517241379310345,214.899,1864.4515999999999,1850.0225999999998,1.416639753316837,5.297389939492109,247.7904,1.106207142857143
20260902,manager_mesh,black_friday,493,260,0.5273833671399595,0.032454361054766734,0.15902140672782875,0.32454361054766734,0.5625,0.14198782961460446,0.09177215189873418,0.24543610547667344,0.7545638945233266,379.803,1049.9596,1034.0872,1.6526872611175218,3.320347640259044,324.0233,1.2462434615384617
