portfolio,workflow,controls,control_count,cost,runs,incident_rate,task_success_rate,safety_success_rate,cascading_failure_rate,policy_violation_rate,human_review_load,review_saturation_rate,rollback_coverage,mean_blast_radius,risk_reduction
external_isolation+rollback_hook+tool_version_lock,it_access,"tool_version_lock,rollback_hook,external_isolation",3,37.0,350.0,0.5171428571428571,0.84,0.4828571428571429,0.13142857142857142,0.44285714285714284,0.31142857142857144,0.04,0.7624309392265194,40.75254143646409,0.25428571428571434
external_isolation+rollback_hook+tool_version_lock,refund,"tool_version_lock,rollback_hook,external_isolation",3,37.0,350.0,0.3942857142857143,0.8542857142857143,0.6057142857142858,0.13714285714285715,0.3314285714285714,0.34,0.06,0.7463768115942029,21.181811594202898,0.18571428571428567
human_review_gate+permission_scope+rollback_hook,data_export,"permission_scope,human_review_gate,rollback_hook",3,73.0,350.0,0.3514285714285714,0.8028571428571428,0.6485714285714286,0.10285714285714286,0.3057142857142857,0.7371428571428571,0.11714285714285715,0.0,68.67056910569106,0.41714285714285715
human_review_gate+permission_scope+rollback_hook,email,"permission_scope,human_review_gate,rollback_hook",3,73.0,350.0,0.15142857142857144,0.7857142857142857,0.8485714285714285,0.02857142857142857,0.12285714285714286,0.6171428571428571,0.06571428571428571,0.0,43.67132075471699,0.2171428571428571
human_review_gate+permission_scope+rollback_hook,it_access,"permission_scope,human_review_gate,rollback_hook",3,73.0,350.0,0.3457142857142857,0.7685714285714286,0.6542857142857142,0.08571428571428572,0.3,0.6885714285714286,0.11714285714285715,0.8016528925619835,38.41975206611571,0.42571428571428577
human_review_gate+permission_scope+rollback_hook,refund,"permission_scope,human_review_gate,rollback_hook",3,73.0,350.0,0.23714285714285716,0.7942857142857143,0.7628571428571429,0.1,0.19428571428571428,0.7257142857142858,0.12571428571428572,0.8072289156626506,20.338192771084337,0.3428571428571428
external_isolation+human_review_gate+permission_scope,data_export,"permission_scope,human_review_gate,external_isolation",3,69.0,350.0,0.34,0.78,0.66,0.09142857142857143,0.29428571428571426,0.7371428571428571,0.11714285714285715,0.0,67.03394957983193,0.42857142857142855
external_isolation+human_review_gate+permission_scope,email,"permission_scope,human_review_gate,external_isolation",3,69.0,350.0,0.15428571428571428,0.7742857142857142,0.8457142857142858,0.03428571428571429,0.12,0.6171428571428571,0.06571428571428571,0.0,43.855555555555576,0.21428571428571427
external_isolation+human_review_gate+permission_scope,it_access,"permission_scope,human_review_gate,external_isolation",3,69.0,350.0,0.3171428571428571,0.7628571428571429,0.6828571428571428,0.06857142857142857,0.2742857142857143,0.6885714285714286,0.11714285714285715,0.06306306306306306,66.58288288288288,0.45428571428571435
external_isolation+human_review_gate+permission_scope,refund,"permission_scope,human_review_gate,external_isolation",3,69.0,350.0,0.23142857142857143,0.7885714285714286,0.7685714285714286,0.09714285714285714,0.19142857142857142,0.7257142857142858,0.12571428571428572,0.04938271604938271,36.43888888888889,0.34857142857142853
external_isolation+permission_scope+rollback_hook,data_export,"permission_scope,rollback_hook,external_isolation",3,42.0,350.0,0.5314285714285715,0.86,0.4685714285714286,0.14285714285714285,0.46285714285714286,0.3057142857142857,0.05142857142857143,0.0,67.2284946236559,0.2371428571428571
external_isolation+permission_scope+rollback_hook,email,"permission_scope,rollback_hook,external_isolation",3,42.0,350.0,0.24,0.8628571428571429,0.76,0.06857142857142857,0.2,0.14857142857142858,0.02,0.0,44.81976190476191,0.12857142857142856
external_isolation+permission_scope+rollback_hook,it_access,"permission_scope,rollback_hook,external_isolation",3,42.0,350.0,0.4942857142857143,0.8171428571428572,0.5057142857142857,0.11714285714285715,0.4257142857142857,0.31142857142857144,0.04,0.7630057803468208,39.348323699421975,0.2771428571428572
external_isolation+permission_scope+rollback_hook,refund,"permission_scope,rollback_hook,external_isolation",3,42.0,350.0,0.36,0.84,0.64,0.12857142857142856,0.3028571428571429,0.34,0.06,0.753968253968254,20.726904761904763,0.21999999999999997
external_isolation+human_review_gate+rollback_hook,data_export,"human_review_gate,rollback_hook,external_isolation",3,77.0,350.0,0.33714285714285713,0.8057142857142857,0.6628571428571428,0.08571428571428572,0.29714285714285715,0.7371428571428571,0.11714285714285715,0.0,67.62915254237288,0.43142857142857144
external_isolation+human_review_gate+rollback_hook,email,"human_review_gate,rollback_hook,external_isolation",3,77.0,350.0,0.15142857142857144,0.7914285714285715,0.8485714285714285,0.02857142857142857,0.12285714285714286,0.6171428571428571,0.06571428571428571,0.0,43.78264150943398,0.2171428571428571
external_isolation+human_review_gate+rollback_hook,it_access,"human_review_gate,rollback_hook,external_isolation",3,77.0,350.0,0.3142857142857143,0.7714285714285715,0.6857142857142857,0.08571428571428572,0.2714285714285714,0.6885714285714286,0.11714285714285715,0.7818181818181819,39.53200000000001,0.4571428571428572
external_isolation+human_review_gate+rollback_hook,refund,"human_review_gate,rollback_hook,external_isolation",3,77.0,350.0,0.2571428571428571,0.7971428571428572,0.7428571428571429,0.1,0.21428571428571427,0.7257142857142858,0.12571428571428572,0.8,20.42011111111111,0.32285714285714284
context_envelope+human_review_gate+permission_scope+tool_version_lock,data_export,"context_envelope,tool_version_lock,permission_scope,human_review_gate",4,72.0,350.0,0.24571428571428572,0.7828571428571428,0.7542857142857143,0.06571428571428571,0.21428571428571427,0.7371428571428571,0.11714285714285715,0.0,68.99883720930232,0.5228571428571429
context_envelope+human_review_gate+permission_scope+tool_version_lock,email,"context_envelope,tool_version_lock,permission_scope,human_review_gate",4,72.0,350.0,0.12,0.7657142857142857,0.88,0.02857142857142857,0.1,0.6171428571428571,0.06571428571428571,0.0,45.14333333333333,0.24857142857142855
context_envelope+human_review_gate+permission_scope+tool_version_lock,it_access,"context_envelope,tool_version_lock,permission_scope,human_review_gate",4,72.0,350.0,0.23714285714285716,0.76,0.7628571428571429,0.07142857142857142,0.20857142857142857,0.6885714285714286,0.11714285714285715,0.060240963855421686,71.20686746987951,0.5342857142857143
context_envelope+human_review_gate+permission_scope+tool_version_lock,refund,"context_envelope,tool_version_lock,permission_scope,human_review_gate",4,72.0,350.0,0.18571428571428572,0.7885714285714286,0.8142857142857143,0.07428571428571429,0.15142857142857144,0.7257142857142858,0.12571428571428572,0.06153846153846154,36.36692307692308,0.39428571428571424
context_envelope+permission_scope+rollback_hook+tool_version_lock,data_export,"context_envelope,tool_version_lock,permission_scope,rollback_hook",4,45.0,350.0,0.3942857142857143,0.8685714285714285,0.6057142857142858,0.10285714285714286,0.3485714285714286,0.3057142857142857,0.05142857142857143,0.0,69.23304347826087,0.3742857142857143
context_envelope+permission_scope+rollback_hook+tool_version_lock,email,"context_envelope,tool_version_lock,permission_scope,rollback_hook",4,45.0,350.0,0.1742857142857143,0.8457142857142858,0.8257142857142857,0.054285714285714284,0.1457142857142857,0.14857142857142858,0.02,0.0,46.78163934426231,0.19428571428571426
context_envelope+permission_scope+rollback_hook+tool_version_lock,it_access,"context_envelope,tool_version_lock,permission_scope,rollback_hook",4,45.0,350.0,0.3628571428571429,0.8171428571428572,0.6371428571428571,0.10285714285714286,0.3142857142857143,0.31142857142857144,0.04,0.7559055118110236,41.521732283464566,0.4085714285714286
context_envelope+permission_scope+rollback_hook+tool_version_lock,refund,"context_envelope,tool_version_lock,permission_scope,rollback_hook",4,45.0,350.0,0.2914285714285714,0.84,0.7085714285714285,0.12285714285714286,0.23142857142857143,0.34,0.06,0.7941176470588235,20.829509803921574,0.28857142857142853
context_envelope+external_isolation+permission_scope+tool_version_lock,data_export,"context_envelope,tool_version_lock,permission_scope,external_isolation",4,41.0,350.0,0.3514285714285714,0.86,0.6485714285714286,0.08,0.30857142857142855,0.3057142857142857,0.05142857142857143,0.0,66.890081300813,0.41714285714285715
context_envelope+external_isolation+permission_scope+tool_version_lock,email,"context_envelope,tool_version_lock,permission_scope,external_isolation",4,41.0,350.0,0.15714285714285714,0.84,0.8428571428571429,0.04,0.12857142857142856,0.14857142857142858,0.02,0.0,44.664000000000016,0.2114285714285714
context_envelope+external_isolation+permission_scope+tool_version_lock,it_access,"context_envelope,tool_version_lock,permission_scope,external_isolation",4,41.0,350.0,0.3314285714285714,0.8085714285714286,0.6685714285714286,0.08857142857142856,0.2857142857142857,0.31142857142857144,0.04,0.0603448275862069,68.90637931034483,0.44000000000000006
context_envelope+external_isolation+permission_scope+tool_version_lock,refund,"context_envelope,tool_version_lock,permission_scope,external_isolation",4,41.0,350.0,0.26,0.8314285714285714,0.74,0.10285714285714286,0.21142857142857144,0.34,0.06,0.054945054945054944,36.13021978021978,0.31999999999999995
context_envelope+human_review_gate+rollback_hook+tool_version_lock,data_export,"context_envelope,tool_version_lock,human_review_gate,rollback_hook",4,80.0,350.0,0.27714285714285714,0.8,0.7228571428571429,0.07714285714285714,0.24571428571428572,0.7371428571428571,0.11714285714285715,0.0,70.37711340206185,0.49142857142857144
context_envelope+human_review_gate+rollback_hook+tool_version_lock,email,"context_envelope,tool_version_lock,human_review_gate,rollback_hook",4,80.0,350.0,0.12285714285714286,0.7857142857142857,0.8771428571428571,0.025714285714285714,0.10857142857142857,0.6171428571428571,0.06571428571428571,0.0,45.35348837209302,0.2457142857142857
context_envelope+human_review_gate+rollback_hook+tool_version_lock,it_access,"context_envelope,tool_version_lock,human_review_gate,rollback_hook",4,80.0,350.0,0.2571428571428571,0.78,0.7428571428571429,0.08571428571428572,0.2257142857142857,0.6885714285714286,0.11714285714285715,0.7888888888888889,41.329555555555565,0.5142857142857143
context_envelope+human_review_gate+rollback_hook+tool_version_lock,refund,"context_envelope,tool_version_lock,human_review_gate,rollback_hook",4,80.0,350.0,0.2257142857142857,0.7942857142857143,0.7742857142857142,0.08,0.18857142857142858,0.7257142857142858,0.12571428571428572,0.7848101265822784,20.901518987341767,0.35428571428571426
context_envelope+external_isolation+human_review_gate+tool_version_lock,data_export,"context_envelope,tool_version_lock,human_review_gate,external_isolation",4,76.0,350.0,0.24857142857142858,0.7828571428571428,0.7514285714285714,0.054285714285714284,0.22,0.7371428571428571,0.11714285714285715,0.0,67.61609195402298,0.52
context_envelope+external_isolation+human_review_gate+tool_version_lock,email,"context_envelope,tool_version_lock,human_review_gate,external_isolation",4,76.0,350.0,0.11428571428571428,0.7742857142857142,0.8857142857142857,0.025714285714285714,0.09428571428571429,0.6171428571428571,0.06571428571428571,0.0,44.788,0.2542857142857143
context_envelope+external_isolation+human_review_gate+tool_version_lock,it_access,"context_envelope,tool_version_lock,human_review_gate,external_isolation",4,76.0,350.0,0.22,0.7657142857142857,0.78,0.07428571428571429,0.19142857142857142,0.6885714285714286,0.11714285714285715,0.06493506493506493,71.78155844155845,0.5514285714285715
