portfolio,controls,control_count,cost,runs,incident_rate,task_success_rate,safety_success_rate,cascading_failure_rate,policy_violation_rate,human_review_load,review_saturation_rate,rollback_coverage,mean_blast_radius,risk_reduction,worst_workflow_incident_rate,feasible_default,pareto_efficient
context_envelope+external_isolation,"context_envelope,external_isolation",2,26.0,1400.0,0.4014285714285714,0.8707142857142857,0.5985714285714285,0.10857142857142857,0.34785714285714286,0.2764285714285714,0.04285714285714286,0.03558718861209965,57.82912811387901,0.2207142857142857,0.52,True,True
permission_scope+tool_version_lock,"tool_version_lock,permission_scope",2,15.0,1400.0,0.4692857142857143,0.8607142857142858,0.5307142857142857,0.1442857142857143,0.40214285714285714,0.2764285714285714,0.04285714285714286,0.0273972602739726,58.29415525114157,0.1528571428571428,0.6057142857142858,True,True
human_review_gate+tool_version_lock,"tool_version_lock,human_review_gate",2,50.0,1400.0,0.30214285714285716,0.8035714285714286,0.6978571428571428,0.09142857142857143,0.26071428571428573,0.6921428571428572,0.10642857142857143,0.026004728132387706,58.69262411347518,0.31999999999999995,0.38285714285714284,False,False
rollback_hook+tool_version_lock,"tool_version_lock,rollback_hook",2,23.0,1400.0,0.5071428571428571,0.8842857142857142,0.4928571428571429,0.15357142857142858,0.4342857142857143,0.2764285714285714,0.04285714285714286,0.4154929577464789,46.11871830985916,0.11499999999999999,0.6257142857142857,True,False
external_isolation+tool_version_lock,"tool_version_lock,external_isolation",2,19.0,1400.0,0.4585714285714286,0.8714285714285714,0.5414285714285715,0.12785714285714286,0.3942857142857143,0.2764285714285714,0.04285714285714286,0.029595015576323987,57.74719626168225,0.16357142857142853,0.5742857142857143,True,False
human_review_gate+permission_scope,"permission_scope,human_review_gate",2,55.0,1400.0,0.29928571428571427,0.7907142857142857,0.7007142857142857,0.08785714285714286,0.25357142857142856,0.6921428571428572,0.10642857142857143,0.028639618138424822,58.07735083532221,0.32285714285714284,0.38571428571428573,False,False
permission_scope+rollback_hook,"permission_scope,rollback_hook",2,28.0,1400.0,0.4828571428571429,0.8642857142857143,0.5171428571428571,0.14642857142857144,0.4157142857142857,0.2764285714285714,0.04285714285714286,0.40384615384615385,46.16536982248521,0.13928571428571423,0.6314285714285715,True,False
external_isolation+permission_scope,"permission_scope,external_isolation",2,24.0,1400.0,0.455,0.8557142857142858,0.545,0.12785714285714286,0.3921428571428571,0.2764285714285714,0.04285714285714286,0.029827315541601257,56.951459968602826,0.1671428571428571,0.5857142857142857,True,False
human_review_gate+rollback_hook,"human_review_gate,rollback_hook",2,63.0,1400.0,0.31,0.8035714285714286,0.69,0.09142857142857143,0.2664285714285714,0.6921428571428572,0.10642857142857143,0.42857142857142855,45.45942396313364,0.3121428571428571,0.40285714285714286,False,False
external_isolation+human_review_gate,"human_review_gate,external_isolation",2,59.0,1400.0,0.295,0.7942857142857143,0.705,0.08285714285714285,0.2507142857142857,0.6921428571428572,0.10642857142857143,0.026634382566585957,57.42658595641647,0.3271428571428571,0.38285714285714284,False,False
external_isolation+rollback_hook,"rollback_hook,external_isolation",2,32.0,1400.0,0.4742857142857143,0.8742857142857143,0.5257142857142857,0.13,0.4085714285714286,0.2764285714285714,0.04285714285714286,0.411144578313253,45.20430722891567,0.1478571428571428,0.6028571428571429,True,False
context_envelope+permission_scope+tool_version_lock,"context_envelope,tool_version_lock,permission_scope",3,27.0,1400.0,0.33714285714285713,0.8542857142857143,0.6628571428571428,0.10357142857142858,0.28785714285714287,0.2764285714285714,0.04285714285714286,0.03177966101694915,58.52171610169491,0.285,0.42857142857142855,True,True
context_envelope+human_review_gate+tool_version_lock,"context_envelope,tool_version_lock,human_review_gate",3,62.0,1400.0,0.23785714285714285,0.7935714285714286,0.7621428571428571,0.07142857142857142,0.2057142857142857,0.6921428571428572,0.10642857142857143,0.03003003003003003,58.88087087087088,0.38428571428571423,0.29428571428571426,False,True
context_envelope+rollback_hook+tool_version_lock,"context_envelope,tool_version_lock,rollback_hook",3,35.0,1400.0,0.385,0.8692857142857143,0.615,0.11571428571428571,0.32857142857142857,0.2764285714285714,0.04285714285714286,0.42857142857142855,46.08844155844155,0.2371428571428571,0.4714285714285714,True,True
context_envelope+external_isolation+tool_version_lock,"context_envelope,tool_version_lock,external_isolation",3,31.0,1400.0,0.3407142857142857,0.8621428571428571,0.6592857142857143,0.09357142857142857,0.29285714285714287,0.2764285714285714,0.04285714285714286,0.033542976939203356,58.053270440251566,0.2814285714285714,0.43714285714285717,True,True
context_envelope+human_review_gate+permission_scope,"context_envelope,permission_scope,human_review_gate",3,67.0,1400.0,0.23714285714285716,0.7842857142857143,0.7628571428571429,0.06857142857142857,0.2007142857142857,0.6921428571428572,0.10642857142857143,0.03313253012048193,58.186144578313254,0.38499999999999995,0.3057142857142857,False,True
context_envelope+permission_scope+rollback_hook,"context_envelope,permission_scope,rollback_hook",3,40.0,1400.0,0.36357142857142855,0.855,0.6364285714285715,0.11071428571428571,0.31214285714285717,0.2764285714285714,0.04285714285714286,0.4106090373280943,46.205166994106094,0.25857142857142856,0.4685714285714286,True,False
context_envelope+external_isolation+permission_scope,"context_envelope,permission_scope,external_isolation",3,36.0,1400.0,0.3357142857142857,0.8407142857142857,0.6642857142857143,0.09285714285714286,0.2885714285714286,0.2764285714285714,0.04285714285714286,0.03404255319148936,56.965,0.2864285714285714,0.4257142857142857,False,True
context_envelope+human_review_gate+rollback_hook,"context_envelope,human_review_gate,rollback_hook",3,75.0,1400.0,0.255,0.7928571428571428,0.745,0.07285714285714286,0.21928571428571428,0.6921428571428572,0.10642857142857143,0.42857142857142855,45.6193837535014,0.3671428571428571,0.3314285714285714,False,False
context_envelope+external_isolation+human_review_gate,"context_envelope,human_review_gate,external_isolation",3,71.0,1400.0,0.23714285714285716,0.7885714285714286,0.7628571428571429,0.065,0.2007142857142857,0.6921428571428572,0.10642857142857143,0.030120481927710843,57.40195783132529,0.38499999999999995,0.30857142857142855,False,True
context_envelope+external_isolation+rollback_hook,"context_envelope,rollback_hook,external_isolation",3,44.0,1400.0,0.36857142857142855,0.8614285714285714,0.6314285714285715,0.10071428571428571,0.31785714285714284,0.2764285714285714,0.04285714285714286,0.42441860465116277,45.06562015503876,0.25357142857142856,0.4857142857142857,False,False
human_review_gate+permission_scope+tool_version_lock,"tool_version_lock,permission_scope,human_review_gate",3,60.0,1400.0,0.2592857142857143,0.7871428571428571,0.7407142857142858,0.07928571428571428,0.22142857142857142,0.6921428571428572,0.10642857142857143,0.027548209366391185,58.183333333333344,0.3628571428571428,0.32571428571428573,False,False
permission_scope+rollback_hook+tool_version_lock,"tool_version_lock,permission_scope,rollback_hook",3,33.0,1400.0,0.425,0.855,0.575,0.13214285714285715,0.36428571428571427,0.2764285714285714,0.04285714285714286,0.4050420168067227,46.20616806722689,0.19714285714285712,0.5542857142857143,True,False
external_isolation+permission_scope+tool_version_lock,"tool_version_lock,permission_scope,external_isolation",3,29.0,1400.0,0.39285714285714285,0.8407142857142857,0.6071428571428571,0.11285714285714285,0.3357142857142857,0.2764285714285714,0.04285714285714286,0.02727272727272727,56.99069090909091,0.22928571428571426,0.5114285714285715,False,False
human_review_gate+rollback_hook+tool_version_lock,"tool_version_lock,human_review_gate,rollback_hook",3,68.0,1400.0,0.275,0.795,0.725,0.085,0.23857142857142857,0.6921428571428572,0.10642857142857143,0.43116883116883115,45.47005194805195,0.3471428571428571,0.3457142857142857,False,False
external_isolation+human_review_gate+tool_version_lock,"tool_version_lock,human_review_gate,external_isolation",3,64.0,1400.0,0.2542857142857143,0.7921428571428571,0.7457142857142857,0.07428571428571429,0.21785714285714286,0.6921428571428572,0.10642857142857143,0.025280898876404494,57.42775280898877,0.3678571428571428,0.32,False,False
external_isolation+rollback_hook+tool_version_lock,"tool_version_lock,rollback_hook,external_isolation",3,37.0,1400.0,0.4157142857142857,0.8635714285714285,0.5842857142857143,0.115,0.3557142857142857,0.2764285714285714,0.04285714285714286,0.41408934707903783,45.0926116838488,0.2064285714285714,0.5171428571428571,True,False
human_review_gate+permission_scope+rollback_hook,"permission_scope,human_review_gate,rollback_hook",3,73.0,1400.0,0.2714285714285714,0.7878571428571428,0.7285714285714285,0.07928571428571428,0.2307142857142857,0.6921428571428572,0.10642857142857143,0.43157894736842106,44.99452631578947,0.3507142857142857,0.3514285714285714,False,False
external_isolation+human_review_gate+permission_scope,"permission_scope,human_review_gate,external_isolation",3,69.0,1400.0,0.26071428571428573,0.7764285714285715,0.7392857142857143,0.07285714285714286,0.22,0.6921428571428572,0.10642857142857143,0.030136986301369864,56.67805479452054,0.3614285714285714,0.34,False,False
external_isolation+permission_scope+rollback_hook,"permission_scope,rollback_hook,external_isolation",3,42.0,1400.0,0.4064285714285714,0.845,0.5935714285714285,0.11428571428571428,0.34785714285714286,0.2764285714285714,0.04285714285714286,0.3989455184534271,45.14623901581722,0.2157142857142857,0.5314285714285715,False,False
external_isolation+human_review_gate+rollback_hook,"human_review_gate,rollback_hook,external_isolation",3,77.0,1400.0,0.265,0.7914285714285715,0.735,0.075,0.22642857142857142,0.6921428571428572,0.10642857142857143,0.42587601078167114,44.439487870619956,0.3571428571428571,0.33714285714285713,False,False
context_envelope+human_review_gate+permission_scope+tool_version_lock,"context_envelope,tool_version_lock,permission_scope,human_review_gate",4,72.0,1400.0,0.19714285714285715,0.7742857142857142,0.8028571428571428,0.06,0.16857142857142857,0.6921428571428572,0.10642857142857143,0.03260869565217391,58.34760869565218,0.42499999999999993,0.24571428571428572,False,True
context_envelope+permission_scope+rollback_hook+tool_version_lock,"context_envelope,tool_version_lock,permission_scope,rollback_hook",4,45.0,1400.0,0.3057142857142857,0.8428571428571429,0.6942857142857143,0.09571428571428571,0.26,0.2764285714285714,0.04285714285714286,0.4135514018691589,46.27502336448598,0.3164285714285714,0.3942857142857143,False,True
